id. Response ID	groupsInvolved[res]. In your research processes, did you actively involve one or more of the following groups(*)? [researchers from other disciplines]	groupsInvolved[busi]. In your research processes, did you actively involve one or more of the following groups(*)? [company/business representatives (incl. farmers)]	groupsInvolved[civsoc]. In your research processes, did you actively involve one or more of the following groups(*)? [representatives of NGOs, advocacy or other civil society groups]	groupsInvolved[policy]. In your research processes, did you actively involve one or more of the following groups(*)? [policy makers, public administrations, representatives from governmental agencies]	groupsInvolved[citiz]. In your research processes, did you actively involve one or more of the following groups(*)? [individual citizens (e.g. as beneficiaries, customers, or concerned persons)]	groupsInvolved[media]. In your research processes, did you actively involve one or more of the following groups(*)? [media representatives (traditional media, digital media (e.g. bloggers), journalists, community-led media, etc.)]	groupsInvolved[welfare]. In your research processes, did you actively involve one or more of the following groups(*)? [representatives from welfare- or education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	natureOfInvolvement[res]. What was the nature of involvement of those groups? [researchers from other disciplines]	natureOfInvolvement[busi]. What was the nature of involvement of those groups? [company/business representatives (incl. farmers)]	natureOfInvolvement[civsoc]. What was the nature of involvement of those groups? [ representatives of NGOs, advocacy or other civil society groups]	natureOfInvolvement[policy]. What was the nature of involvement of those groups? [ policy makers, public administrations, representatives from governmental agencies]	natureOfInvolvement[citiz]. What was the nature of involvement of those groups? [individual citizens (e.g. as beneficiaries, customers, or concerned persons)]	natureOfInvolvement[media]. What was the nature of involvement of those groups? [media representatives (traditional media, digital media (e.g. bloggers), journalists, community-led media, etc.)]	natureOfInvolvement[welfare]. What was the nature of involvement of those groups? [representatives from welfare- or education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	impactTargetGroup[pub]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [the general population]	impactTargetGroup[busi]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [businesses]	impactTargetGroup[socgr]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [specific social groups (e.g. women/men/non-binary, youth/elderly; migrants; or minorities/indigenous people)]	impactTargetGroup[welfare]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [welfare- and education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	impactTargetGroup[civsoc]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [NGOs, advocacy or other civil society groups]	impactTargetGroup[policy]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [policy-making, public administration, governmental agencies]	impactTargetGroup[acad]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [academia ]	kindOfChange[pub]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [the general population]	kindOfChange[busi]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [businesses]	kindOfChange[socgr]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [specific social groups]	kindOfChange[welfare]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [welfare- and education-providing institutions]	kindOfChange[civsoc]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [NGOs, advocacy or other civil society groups]	kindOfChange[policy]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [policy-making, public administration, governmental agencies]	kindOfChange[acad]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [academia]
369	quite centrally	no	only marginally	only marginally	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		3	1	6	3	3	7	9	changing awareness		changing awareness	other	changing awareness	changing understanding	changing understanding
371	no	no	no	no	no	no	no								0	0	0	0	0	0	10							changing understanding
372	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							5	0	0	0	0	0	10	changing awareness						changing awareness
373	quite centrally	quite centrally	quite centrally	quite centrally	quite centrally	quite centrally	no	collaborative (contributory + interpreting data and/or drawing conclusions)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		2	2	4	0	4	4	0			changing attitude		changing behaviour	changing behaviour	
374	only marginally	only marginally	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)	collaborative (contributory + interpreting data and/or drawing conclusions)						0	0	0	0	0	0	0							
375	no	no	no	no	no	no	no								2	0	1	0	0	1	9							changing understanding
376	quite centrally	quite centrally	no	no	only marginally	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			consultative (provide information via interviews, online questionnaires, etc.)			6	6	2	0	0	6	9	changing understanding					changing understanding	changing understanding
377	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	0	0	0	0	2							
378	only marginally	no	no	only marginally	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)			consultative (provide information via interviews, online questionnaires, etc.)				10	4	2	6	5	5	10	changing awareness			changing awareness		changing awareness	changing understanding
379	quite centrally	no	no	quite centrally	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				3	2	0	1	2	8	8	changing awareness					changing awareness	changing awareness
380	only marginally	no	no	only marginally	only marginally	no	quite centrally	collaborative (contributory + interpreting data and/or drawing conclusions)			consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		co-created (collaborative + participated in designing study and/or determining objectives)	5	0	2	8	0	7	9	changing understanding			changing behaviour		changing awareness	changing behaviour
381	quite centrally	no	no	no	no	no	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)						contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	1	3	3	1	4	0	9		changing awareness	changing behaviour		other		changing understanding
382	no	no	no	no	no	no	quite centrally							contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	5		5	0		0	4	changing behaviour		changing behaviour				changing behaviour
384	only marginally	no	no	no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)							0	0	0	0	0	0	9							changing understanding
385	quite centrally	quite centrally	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							6	6	0	0	0	0	8	changing awareness	changing attitude					changing understanding
386	quite centrally	no	no	no	only marginally	only marginally	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)				contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	7	0	6	8	0	3	10	changing understanding		changing behaviour	changing behaviour		changing awareness	changing understanding
387	quite centrally	only marginally	quite centrally	quite centrally	quite centrally	only marginally	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	co-created (collaborative + participated in designing study and/or determining objectives)	collaborative (contributory + interpreting data and/or drawing conclusions)	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	10	8	9	9	9	10	9	changing understanding	changing understanding	changing understanding	changing behaviour	changing behaviour	changing behaviour	changing understanding
388	quite centrally	no	no	only marginally	only marginally	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)			consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		3	0	0	0	0	4	7	changing understanding					changing attitude	changing understanding
389	quite centrally	only marginally	no	no	no	only marginally	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)				consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	8	5	5	2	2	2	10	other	changing attitude	changing awareness				changing understanding
390	only marginally	no	no	no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)							0	0	0	0	0	0	10							changing understanding
391	quite centrally	only marginally	only marginally	only marginally	only marginally	no	no	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			7	2	7	7	2	8	6	changing awareness		changing attitude	changing attitude		changing behaviour	changing understanding
392	no	no	no	no	no	no	no								3	0	0	0	0	3	10	other						
393	no	no	no	no	no	no	no								0	0	0	0	0	0	0							
394	only marginally	only marginally	only marginally	quite centrally	only marginally	only marginally	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	8	2						changing awareness						
395	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							7	1	3	3	1	2	10	changing understanding		changing understanding	changing understanding			changing understanding
396	only marginally	no	no	no	only marginally	quite centrally	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)				consultative (provide information via interviews, online questionnaires, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)	consultative (provide information via interviews, online questionnaires, etc.)	6	1	0	6	0	1	9	changing understanding			changing awareness			changing understanding
397	only marginally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							0	0	0	0	0	0	7							changing understanding
398	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							0	0	0	0	0	0	8							changing understanding
399	only marginally	no	no	no	no	quite centrally		consultative (provide information via interviews, online questionnaires, etc.)					co-created (collaborative + participated in designing study and/or determining objectives)		5	0	0	0	0	2	10	changing awareness						changing awareness
400	no	no	no	no	no	only marginally	no						consultative (provide information via interviews, online questionnaires, etc.)		0	0	0	0	0	0	0							
401	quite centrally	no	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)					consultative (provide information via interviews, online questionnaires, etc.)		7	4	0	5	0	1	9	changing understanding	changing awareness		changing understanding			changing understanding
402	no	no	no	no	no	no	no								1	0	0	3	0	0	0				changing understanding			
403	only marginally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							0	5	0	0	0	0	10		changing understanding					changing understanding
404	quite centrally	no	no	only marginally	no	no	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			consultative (provide information via interviews, online questionnaires, etc.)	5	0	1	2	2	7	7	other					other	changing understanding
405	quite centrally	quite centrally	only marginally	no	no		no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)					10	10	8	2	7	7	9	changing behaviour	changing behaviour	changing awareness			changing attitude	changing attitude
406	quite centrally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							5	1	0	7	0	5	8	changing awareness			changing behaviour		changing behaviour	changing behaviour
407	quite centrally	quite centrally	no	no	quite centrally	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)	collaborative (contributory + interpreting data and/or drawing conclusions)			collaborative (contributory + interpreting data and/or drawing conclusions)			2	5	1	7	0	0	7		changing understanding		changing understanding			changing understanding
408	only marginally		quite centrally	quite centrally	quite centrally			consultative (provide information via interviews, online questionnaires, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	co-created (collaborative + participated in designing study and/or determining objectives)			2		6		7	5	2			changing attitude		changing attitude	changing attitude	
409	only marginally	no	no	only marginally	only marginally	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		2	0	5	0	5	5	8			changing awareness		changing awareness	changing behaviour	changing behaviour
410	quite centrally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	2	0	0	0	0	5							changing understanding
411	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							5	10	0	0	0	5	10	changing awareness	changing behaviour				changing awareness	changing attitude
